Cell_ID,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users,Network_Status,Site_ID,Hour
CELL001,-93,11,30,121,2.2,108,Degraded,Site_D,2
CELL002,-88,19,22,142,0.0,145,Healthy,Site_B,3
CELL003,-86,29,22,153,0.6,97,Healthy,Site_B,7
CELL004,-103,2,67,53,5.3,189,Congested,Site_E,1
CELL005,-87,30,22,173,0.3,126,Healthy,Site_D,0
CELL006,-83,21,13,131,0.5,142,Healthy,Site_B,15
CELL007,-87,25,22,125,0.5,129,Healthy,Site_A,6
CELL008,-92,12,38,110,1.2,102,Degraded,Site_D,20
CELL009,-100,16,47,86,2.2,138,Degraded,Site_E,3
CELL010,-82,30,30,130,0.4,108,Healthy,Site_A,16
CELL011,-97,19,26,125,2.5,182,Degraded,Site_D,16
CELL012,-98,16,36,86,0.7,143,Degraded,Site_D,7
CELL013,-82,25,27,144,0.8,150,Healthy,Site_B,21
CELL014,-102,3,109,23,6.0,244,Congested,Site_A,2
CELL015,-89,25,29,157,0.5,120,Healthy,Site_A,17
CELL016,-88,28,24,169,0.4,106,Healthy,Site_C,7
CELL017,-83,21,21,159,0.5,101,Healthy,Site_A,6
CELL018,-81,20,12,129,0.8,128,Healthy,Site_C,22
CELL019,-84,19,24,149,0.8,85,Healthy,Site_D,5
CELL020,-91,16,33,106,1.7,140,Degraded,Site_C,11
CELL021,-80,23,21,163,0.5,123,Healthy,Site_B,4
CELL022,-89,20,16,141,0.3,131,Healthy,Site_C,8
CELL023,-99,19,49,116,0.8,180,Degraded,Site_C,20
CELL024,-114,1,60,14,8.5,308,Congested,Site_B,19
CELL025,-89,20,19,134,0.5,152,Healthy,Site_E,2
CELL026,-90,29,15,156,0.2,109,Healthy,Site_A,18
CELL027,-87,19,23,179,0.0,93,Healthy,Site_B,23
CELL028,-112,3,75,11,5.2,317,Congested,Site_A,5
CELL029,-89,19,27,165,0.5,137,Healthy,Site_A,12
CELL030,-88,18,12,126,0.5,92,Healthy,Site_C,13
CELL031,-80,27,17,168,0.9,100,Healthy,Site_E,11
CELL032,-82,30,10,138,0.7,115,Healthy,Site_A,7
CELL033,-102,1,104,70,8.7,340,Congested,Site_D,20
CELL034,-84,18,17,147,0.6,92,Healthy,Site_D,8
CELL035,-98,20,27,117,0.9,153,Degraded,Site_C,21
CELL036,-95,10,24,107,2.8,119,Degraded,Site_C,2
CELL037,-100,13,37,101,2.4,112,Degraded,Site_C,22
CELL038,-101,2,79,30,7.2,183,Congested,Site_C,7
CELL039,-113,4,64,33,8.0,234,Congested,Site_E,7
CELL040,-87,20,19,133,0.0,156,Healthy,Site_B,20
CELL041,-86,19,13,127,0.5,110,Healthy,Site_B,23
CELL042,-94,19,21,95,2.2,132,Degraded,Site_E,21
CELL043,-90,19,20,165,0.4,151,Healthy,Site_C,21
CELL044,-84,18,29,155,0.9,98,Healthy,Site_E,3
CELL045,-81,30,11,154,0.3,113,Healthy,Site_A,14
CELL046,-81,19,13,130,0.0,84,Healthy,Site_A,5
CELL047,-83,21,15,176,0.7,151,Healthy,Site_B,15
CELL048,-94,11,35,92,1.3,126,Degraded,Site_C,6
CELL049,-95,15,26,93,0.8,203,Degraded,Site_C,22
CELL050,-83,29,20,129,0.6,149,Healthy,Site_E,19
CELL051,-105,1,107,52,5.4,322,Congested,Site_B,16
CELL052,-80,21,15,126,0.1,153,Healthy,Site_B,2
CELL053,-91,10,46,91,0.9,100,Degraded,Site_E,14
CELL054,-111,3,99,59,5.5,313,Congested,Site_E,20
CELL055,-83,23,16,142,0.8,158,Healthy,Site_D,18
CELL056,-85,24,22,149,0.5,95,Healthy,Site_A,2
CELL057,-91,20,36,85,2.3,165,Degraded,Site_B,22
CELL058,-111,7,109,28,5.8,293,Congested,Site_E,14
CELL059,-114,9,86,57,8.7,255,Congested,Site_A,23
CELL060,-87,30,29,144,0.8,120,Healthy,Site_E,3
CELL061,-101,2,99,26,6.3,327,Congested,Site_B,6
CELL062,-97,15,31,103,3.0,136,Degraded,Site_C,0
CELL063,-100,11,23,80,0.9,146,Degraded,Site_C,14
CELL064,-105,3,116,64,6.9,284,Congested,Site_B,2
CELL065,-90,17,40,103,0.7,102,Degraded,Site_D,9
CELL066,-88,20,27,125,0.4,135,Healthy,Site_B,3
CELL067,-107,7,66,27,5.4,200,Congested,Site_B,22
CELL068,-98,19,24,82,1.5,149,Degraded,Site_E,10
CELL069,-91,13,26,128,2.6,110,Degraded,Site_E,18
CELL070,-88,24,14,148,0.2,155,Healthy,Site_B,21
CELL071,-90,16,49,92,2.5,138,Degraded,Site_C,14
CELL072,-90,24,19,167,0.8,144,Healthy,Site_C,17
CELL073,-114,3,116,63,5.8,249,Congested,Site_A,2
CELL074,-92,15,46,98,2.9,118,Degraded,Site_C,5
CELL075,-82,22,30,158,0.6,98,Healthy,Site_C,19
CELL076,-83,20,30,173,0.0,155,Healthy,Site_E,3
CELL077,-107,2,87,36,5.5,201,Congested,Site_A,20
CELL078,-95,10,30,81,0.9,185,Degraded,Site_E,1
CELL079,-88,25,11,150,0.6,86,Healthy,Site_D,9
CELL080,-96,10,43,117,1.9,149,Degraded,Site_C,7
CELL081,-85,20,11,166,0.8,137,Healthy,Site_D,14
CELL082,-98,15,35,110,2.9,214,Degraded,Site_A,15
CELL083,-82,28,23,176,0.4,111,Healthy,Site_A,1
CELL084,-84,22,22,156,0.1,103,Healthy,Site_C,2
CELL085,-91,13,36,124,3.0,119,Degraded,Site_E,8
CELL086,-96,19,49,112,2.4,130,Degraded,Site_B,0
CELL087,-100,11,50,113,2.5,122,Degraded,Site_A,2
CELL088,-100,16,42,124,1.6,213,Degraded,Site_E,19
CELL089,-95,20,42,119,0.9,183,Degraded,Site_E,14
CELL090,-88,28,11,156,0.1,108,Healthy,Site_D,0
CELL091,-90,27,17,125,0.3,148,Healthy,Site_D,23
CELL092,-90,22,13,139,0.9,145,Healthy,Site_A,7
CELL093,-115,6,114,45,8.7,284,Congested,Site_C,6
CELL094,-89,21,15,143,0.2,114,Healthy,Site_B,8
CELL095,-85,21,18,160,0.8,144,Healthy,Site_E,9
CELL096,-87,25,10,175,0.4,146,Healthy,Site_C,18
CELL097,-87,21,20,132,0.6,96,Healthy,Site_D,11
CELL098,-84,20,14,143,0.6,102,Healthy,Site_C,20
CELL099,-90,26,29,125,0.7,155,Healthy,Site_C,23
CELL100,-80,24,28,138,0.6,111,Healthy,Site_B,1
